name,borough,description
Q177 SPED - QUEENS,QUEENS   ,PLANYC BOILER CONVERSION/PLANYC CLIMATE CONTROL
THE SCHOLARS ACADEMY - QUEENS,QUEENS   ,SANDY:AC/FLOOD/ELEC/HEAT/INTER/NON-SANDY:CLIM CTRL
P.S. 181 - QUEENS,QUEENS   ,FLOORS & WALLS/ROOFS/PARAPETS/EXT MASONRY/FLOOD
P.S. 184 - QUEENS,QUEENS   ,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL
THE FLUSHING INTERNATIONAL HS,QUEENS   ,FY14 RESO A ROOM CONVERSIONS/PART
J.H.S. 190 - QUEENS,QUEENS   ,FY15 RESO A ROOM CONVERSIONS/PARITTIONING
P.S. 191 - QUEENS,QUEENS   ,LIGHTING REPLACEMENT
P.S. 193 - QUEENS,QUEENS   ,WATER PENETRATION
J.H.S. 194 - QUEENS,QUEENS   ,FY16 RESO A LIBRARY UPGRADE
J.H.S. 194 - QUEENS,QUEENS   ,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL
P.S. 196 - QUEENS,QUEENS   ,FY12 RESO A AUDITORIUM UPGRADE
P.S. 333 - QUEENS,QUEENS   ,NEW A/C CHILLERS
P.S. 333 - QUEENS,QUEENS   ,REINFORCING/HEATING PLT/ELEC/FLOOD ELIM/CLIMATE CO
P.S. 205 - QUEENS,QUEENS   ,LIGHTING REPLACEMENT
P.S. 214 - QUEENS,QUEENS   ,PARAPETS/FLOOD/EXT MASONRY/ROOFS
P.S. 215 - QUEENS,QUEENS   ,FIRE ALARM
I.S. 217 - QUEENS,QUEENS   ,FY15 RESO A SCIENCE LAB UPGRADE
P.S. 223 - QUEENS,QUEENS   ,WINDOWS/EXT MASONRY/PARAPETS
P.S. 317 - QUEENS,QUEENS   ,SANDY: HEAT/FLOOD/ELEC/INTERIOR/NON-SANDY: CLIMATE
I.S. 226 - QUEENS,QUEENS   ,PUBLIC ADDRESS SYSTEM
I.S. 226 - QUEENS,QUEENS   ,TCU REMOVAL AND PLAYGROUND REDEVELOPMENT
P.S. 242 - QUEENS,QUEENS   ,FLOOD ELIMINATION/ROOFING
P.S. / I.S. 270 - QUEENS,QUEENS   ,DEFECTIVE PARAPETS/EXT MASONRY/ROOFS
AUGUST MARTIN HS - QUEENS,QUEENS   ,RENEWAL SCHOOL BASED HEALTH CENTER
BAYSIDE HIGH SCHOOL - QUEENS,QUEENS   ,TCU REMOVAL/PLAYGROUND REDEVELOPMENT
BEACH CHANNEL HS - QUEENS,QUEENS   ,SANDY FIRE ALARM/SANDY PA SYSTEM
BEACH CHANNEL HS - QUEENS,QUEENS   ,SANDY:HEATING/ELEC/FLOOD/CLIMATE/PIPING/INT/GENERA
BEACH CHANNEL HS - QUEENS,QUEENS   ,SANDY REPAIRS-ATHLETIC FIELD
BENJAMIN N. CARDOZO HS - QUEEN,QUEENS   ,ATHLETIC FIELDS/TCU REMOVAL & PLAYGROUND REDEVELOP
BENJAMIN N. CARDOZO HS - QUEEN,QUEENS   ,WATER PENETRATION THROUGH FOUNDATION
EXCELSIOR PREP HIGH SCHOOL - Q,QUEENS   ,EXT MASONRY/ROOFS/PAVED AREA-CONCRETE
PREPARATORY ACADEMY FOR WRITER,QUEENS   ,REPAVING PARKING LOT
FRANCIS LEWIS HS - QUEENS,QUEENS   ,WATER PENETRATION
FOREST HILLS H.S.,QUEENS   ,CONCRETE PAVED AREAS
FOREST HILLS HS - QUEENS,QUEENS   ,CONCRETE RETAINING WALL
WILLIAM C. BRYANT HS - QUEENS,QUEENS   ,TCU REMOVAL & PLAYGROUND REDEVELOPMENT
LONG ISLAND CITY HS - Q,QUEENS   ,FIRE ALARM SYSTEM/BUILDING MGMT SYSTEM
FLUSHING HS - QUEENS,QUEENS   ,FY15 RESO A AUDITORIUM UPGRADE
AVIATION HS - QUEENS,QUEENS   ,FUEL FIRE/ROOFS/PARAPETS/MASONRY/FLOOD/GYM UPG/WIN
AVIATION HS - QUEENS,QUEENS   ,FY16 RESO A ROOM CONVERSIONS / PART
P.S. 16 - QUEENS,QUEENS   ,FY15 RESO A AUDITORIUM UPGRADE
Q721 SPED - QUEENS,QUEENS   ,FY16 RESO A AUDITORIUM UPGRADE
