name,borough,attendancePercentage
RALPH R. MCKEE CAREER AND TECHNICAL EDUC,R,74.09
STATEN ISLAND TECHNICAL HIGH SCHOOL,R,95.62
STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP,R,92.88
P.S. I.S. 045 HORACE E. GREENE,K,93.13
P.S. 075 MAYDA CORTIELLA,K,89.64
P.S. 086 THE IRVINGTON,K,94.70
P.S. 106 EDWARD EVERETT HALE,K,93.78
P.S. 116 ELIZABETH L FARRELL,K,94.49
P.S. 123 SUYDAM,K,96.23
P.S. 145 ANDREW JACKSON,K,93.64
P.S. 151 LYNDON B. JOHNSON,K,96.27
J.H.S. 162 THE WILLOUGHBY,K,94.24
THE BROOKLYN SCHOOL FOR MATH AND RESEARC,K,90.18
P.S. 274 KOSCIUSKO,K,90.25
J.H.S. 291 ROLAND HAYES,K,90.06
P.S. 299 THOMAS WARREN FIELD,K,90.12
I.S. 347 SCHOOL OF HUMANITIES,K,88.70
I.S. 349 MATH SCIENCE TECH.,K,92.21
P.S. 376,K,92.95
P.S. 377 ALEJANDRINA B. DE GAUTIER,K,89.50
J.H.S. 383 PHILIPPA SCHUYLER,K,95.21
P.S. I.S. 384 FRANCES E. CARTER,K,92.23
ACADEMY FOR ENVIRONMENTAL LEADERSHIP,K,84.12
EBC HIGH SCHOOL FOR PUBLIC SERVICE BUS,K,78.78
THE BROOKLYN SCHOOL FOR SOCIAL JUSTICE,K,61.94
THE ACADEMY OF URBAN PLANNING AND ENGINE,K,83.33
ALL CITY LEADERSHIP SECONDARY SCHOOL,K,92.12
BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMI,K,81.18
EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLOR,K,96.20
BUSHWICK COMMUNITY HIGH SCHOOL,K,44.32
P.S. K004,K,83.58
P.S. 36,K,83.86
P.S. K053,K,88.98
P.S. K077,K,92.08
P.S. K140,K,87.43
P.S. K141,K,78.97
P.S. K231,K,87.63
P.S. 368,K,74.28
P.S. K369 COY L. COX SCHOOL,K,85.37
P.S. 370,K,88.97
P.S. 371 LILLIAN L. RASHKIS,K,63.34
P.S. 372 THE CHILDREN S SCHOOL,K,94.17
P.S. 373 BROOKLYN TRANSITION CENTER,K,81.77
P.S. K396,K,86.57
P.S. K721 BROOKLYN OCCUPATIONAL TRAINI,K,83.29
P.S. K753 SCHOOL FOR CAREER DEVELOPMEN,K,53.47
P.S. K771,K,85.41
P.S. K811 CONNIE LEKAS SCHOOL,K,85.93
P.S. 035,M,66.77
P.S. M079 HORAN SCHOOL,M,71.94
P.S. M094,M,90.59
P.S. 138,M,84.60
P.S. M169 ROBERT F. KENNEDY,M,81.81
P.S. M226,M,87.08
P.S. M721 MANHATTAN OCCUPATIONAL TRAIN,M,85.50
MANHATTAN SCHOOL FOR CAREER DEVELOPMENT,M,74.66
P.S. M811 MICKEY MANTLE SCHOOL,M,84.12
P.S. Q004,Q,88.83
P.S. 009,Q,86.37
P.S. Q023 QUEENS CHILDREN CENTER,Q,84.54
ROBERT E. PEARY SCHOOL,Q,86.56
P.S. Q177,Q,89.27
P.S. Q224,Q,91.77
P.S. Q233,Q,89.06
P.S. Q255,Q,91.50
P.S. Q256,O,76.13
THE RIVERVIEW SCHOOL,Q,91.18
JOHN F. KENNEDY JR. SCHOOL,Q,82.43
QUEENS TRANSITION CENTER,Q,72.93
P.S. Q811,Q,83.33
P.S. Q993,Q,86.69
SOUTH RICHMOND HIGH SCHOOL I.S. P.S. 25,R,79.62
THE DAVID MARQUIS SCHOOL OF THE ARTS,R,86.42
P.S. R373,R,88.07
THE RICHARD H. HUNGERFORD SCHOOL,R,58.87
P.S. X010,X,87.08
P.S. X012 LEWIS AND CLARK SCHOOL,X,85.11
P.S. X017,X,88.19
P.S. 168,X,83.48
P.S. X176,X,92.81
P186X WALTER J. DAMROSCH SCHOOL,X,83.26
P.S. X188,X,89.66
THE VIDA BOGART SCHOOL FOR ALL CHILDREN,X,84.67
P469X THE BRONX SCHOOL FOR CONTINUOUS,X,88.35
P.S. X596,X,91.60
P.S. X721 STEPHEN MCSWEENEY SCHOOL,X,79.66
P.S. 723,X,85.97
J. M. RAPPORT SCHOOL CAREER DEVELOPMENT,X,58.52
P.S. X811,X,83.96
