name,borough,attendancePercentage
P.S. X014 SENATOR JOHN CALANDRA,X,92.73
P.S. 036 UNIONPORT,X,93.75
P.S. 048 JOSEPH R. DRAKE,X,92.09
P.S. 062 INOCENSIO CASANOVA,X,91.10
P.S. 069 JOURNEY PREP SCHOOL,X,91.80
P.S. 071 ROSE E. SCALA,X,90.97
P.S. 072 DR. WILLIAM DORNEY,X,90.02
P.S. 75 SCHOOL OF RESEARCH AND DISCOVERY,X,94.34
P.S. 093 ALBERT G. OLIVER,X,92.09
P.S. 100 ISAAC CLASON,X,88.79
M.S. X101 EDWARD R. BYRNE,X,94.82
P.S. 107,X,91.24
THE DR. EMMETT W. BASSETT SCHOOL,X,91.06
J.H.S. 123 JAMES M. KIERAN,X,90.84
P.S. 130 ABRAM STEVENS HEWITT,X,92.93
J.H.S. 131 ALBERT EINSTEIN,X,89.18
P.S. 138 SAMUEL RANDALL,X,91.23
P.S. X140 THE EAGLE SCHOOL,X,90.69
P.S. 146 EDWARD COLLINS,X,90.53
P.S. 152 EVERGREEN,X,93.92
P.S. 182,X,94.42
BRONX STUDIO SCHOOL FOR WRITERS AND ARTI,X,84.98
WOMEN S ACADEMY OF EXCELLENCE,X,75.74
RENAISSANCE HIGH SCHOOL FOR MUSICAL THEA,X,73.93
M.S. 301 PAUL L. DUNBAR,X,89.15
M.S. 302 LUISA DESSUS CRUZ,X,89.13
P.S. 304 EARLY CHILDHOOD SCHOOL,X,94.07
MILLENNIUM ART ACADEMY,X,36.68
PELHAM LAB HIGH SCHOOL,X,80.00
THE LONGWOOD ACADEMY OF DISCOVERY,X,89.88
THE SCHOOL FOR INQUIRY AND SOCIAL JUSTIC,X,94.67
SCHUYLERVILLE PREPARATORY HIGH SCHOOL,X,86.10
BRONX RIVER HIGH SCHOOL,X,81.23
ARCHIMEDES ACADEMY FOR MATH SCIENCE AND,X,87.75
URBAN INSTITUTE OF MATHEMATICS,X,91.73
THE BRONX MATHEMATICS PREPARATORY SCHOOL,X,88.54
ANTONIA PANTOJA PREPARATORY ACADEMY: A C,X,44.97
BRONX COMMUNITY HIGH SCHOOL,X,34.00
BRONX DELTA SCHOOL,X,91.95
HERBERT H. LEHMAN HIGH SCHOOL,X,75.30
THE HUNTS POINT SCHOOL,X,92.73
BRONX BRIDGES HIGH SCHOOL,X,28.00
SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLA,X,92.48
GOTHAM COLLABORATIVE HIGH SCHOOL,X,35.52
MOTT HALL COMMUNITY SCHOOL,X,92.44
LONGWOOD PREPARATORY ACADEMY,X,80.50
BRONX ARENA HIGH SCHOOL,X,-1.00
WESTCHESTER SQUARE ACADEMY,X,77.69
SCHOOL FOR TOURISM AND HOSPITALITY,X,67.53
BRONX COMPASS HIGH SCHOOL,X,40.81
BLUEPRINT MIDDLE SCHOOL,X,91.89
P.S. 583,X,90.52
P.S. M.S. 004 CROTONA PARK WEST,X,89.09
P.S. 011 HIGHBRIDGE,X,90.38
J.H.S. 022 JORDAN L. MOTT,X,94.53
P.S. 028 MOUNT HOPE,X,90.73
P.S. 035 FRANZ SIEGEL,X,93.72
P.S. 042 CLAREMONT,X,93.56
P.S. 053 BASHEER QUISIM,X,91.04
P.S. 055 BENJAMIN FRANKLIN,X,88.87
P.S. 058,X,93.22
P.S. 063 AUTHOR S ACADEMY,X,91.16
P.S. 070 MAX SCHOENFELD,X,91.53
P.S. 073 BRONX,X,90.01
P.S. X088 S. SILVERSTEIN LITTLE SPARRO,X,92.95
P.S. 109 SEDGWICK,X,91.96
P.S. 110 THEODORE SCHOENFELD,X,91.21
P.S. X114 LUIS LLORENS TORRES SCHOOLS,X,94.81
I.S. 117 JOSEPH H. WADE,X,92.49
P.S. 126 DR MARJORIE H DUNBAR,X,-1.00
MOTT HALL III,X,96.55
P.S. 132 GARRET A. MORGAN,X,88.53
P.S. 163 ARTHUR A. SCHOMBURG,X,94.80
P.S. 170,X,96.56
P.S. 199X THE SHAKESPEARE SCHOOL,X,90.62
P.S. 204 MORRIS HEIGHTS,X,92.30
KAPPA,X,93.88
P.S. I.S. 218 RAFAEL HERNANDEZ DUAL LANG,X,92.62
I.S. 219 NEW VENTURE SCHOOL,X,89.85
BRONX COLLEGIATE ACADEMY,X,75.54
I.S. 229 ROLAND PATTERSON,X,91.66
EAGLE ACADEMY FOR YOUNG MEN,X,80.89
I.S. 232,X,83.26
P.S. 236 LANGSTON HUGHES,X,95.75
URBAN ASSEMBLY SCHOOL FOR APPLIED MATH A,X,89.54
EXIMIUS COLLEGE PREPARATORY ACADEMY: A C,X,84.54
MOTT HALL BRONX HIGH SCHOOL,X,83.47
BRONX CENTER FOR SCIENCE AND MATHEMATICS,X,86.09
VALIDUS PREPARATORY ACADEMY,X,78.75
THE NEW AMERICAN ACADEMY AT ROBERTO CLEM,X,85.67
THE WALTON AVENUE SCHOOL,X,93.13
MORRIS ACADEMY FOR COLLABORATIVE STUDIES,X,77.05
I.S. X303 LEADERSHIP COMMUNITY SERVICE,X,92.03
LUCERO ELEMENTARY SCHOOL,X,93.02
I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMEN,X,94.27
BRONX WRITING ACADEMY,X,91.04
BRONX EARLY COLLEGE ACADEMY FOR TEACHING,X,88.79
COMPREHENSIVE MODEL SCHOOL PROJECT M.S.,X,89.97
NEW MILLENNIUM BUSINESS ACADEMY MIDDLE S,X,91.83
DREAMYARD PREPARATORY SCHOOL,X,82.30
I.S. 339,X,91.54
NEW DIRECTIONS SECONDARY SCHOOL,X,53.12
THE HIGHBRIDGE GREEN SCHOOL,X,96.01
ACADEMY FOR LANGUAGE AND TECHNOLOGY,X,87.26
BRONX INTERNATIONAL HIGH SCHOOL,X,77.06
SCHOOL FOR EXCELLENCE,X,46.36
BRONX HIGH SCHOOL OF BUSINESS,X,81.60
BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,X,93.79
THE FAMILY SCHOOL,X,92.76
GRANT AVENUE ELEMENTARY SCHOOL,X,92.30
SCIENCE AND TECHNOLOGY ACADEMY: A MOTT H,X,93.59
SHERIDAN ACADEMY FOR YOUNG LEADERS,X,86.80
BRONX SCHOOL FOR LAW GOVERNMENT AND JUS,X,91.76
FREDERICK DOUGLASS ACADEMY III SECONDARY,X,65.22
BRONX LEADERSHIP ACADEMY HIGH SCHOOL,X,76.17
HIGH SCHOOL FOR VIOLIN AND DANCE,X,64.28
MOUNT EDEN CHILDREN S ACADEMY,X,96.93
CLAREMONT INTERNATIONAL HS,X,83.94
YOUNG WOMEN S LEADERSHIP SCHOOL OF THE B,X,-1.00
GARDEN OF LEARNING AND DISCOVERY PRE K C,X,82.95
SOUTH BRONX INTERNATIONAL MIDDLE SCHOOL,X,98.07
M.S. 594,X,91.74
P.S. 3 RAUL JULIA MICRO SOCIETY,X,96.51
MILTON FEIN SCHOOL,X,97.39
P.S. 008 ISAAC VARIAN,X,90.59
P.S. 9 RYER AVENUE ELEMENTARY SCHOOL,X,91.99
P.S. X015 INSTITUTE FOR ENVIRONMENTAL LE,X,94.73
PS MS 20 P.O.GEORGE J. WERDANN III,X,90.58
P.S. 023 THE NEW CHILDREN S SCHOOL,X,91.70
P.S. 024 SPUYTEN DUYVIL,X,93.87
P.S. 032 BELMONT,X,92.61
P.S. 033 TIMOTHY DWIGHT,X,93.17
P.S. X037 MULTIPLE INTELLIGENCE SCHOOL,X,89.83
THOMAS C. GIORDANO MIDDLE SCHOOL 45,X,93.22
P.S. 046 EDGAR ALLAN POE,X,89.98
P.S. 051 BRONX NEW SCHOOL,X,92.57
P.S. I.S. 54,X,93.85
P.S. 056 NORWOOD HEIGHTS,X,93.81
P.S. 059 THE COMMUNITY SCHOOL OF TECHNOL,X,88.38
BEDFORD PARK ELEMENTARY SCHOOL,X,95.16
J.H.S. 080 THE MOSHOLU PARKWAY,X,93.65
P.S. 081 ROBERT J. CHRISTEN,X,92.83
P.S. 085 GREAT EXPECTATIONS,X,93.93
P.S. 086 KINGSBRIDGE HEIGHTS,X,92.76
P.S. 091 BRONX,X,90.69
P.S. 094 KINGS COLLEGE SCHOOL,X,91.68
P.S. 095 SHEILA MENCHER,X,91.40
J.H.S. 118 WILLIAM W. NILES,X,90.89
RIVERDALE KINGSBRIDGE ACADEMY MIDDLE,X,88.29
P.S. 159 LUIS MUNOZ MARIN BILING,X,93.15
P.S. 205 FIORELLO LAGUARDIA,X,92.90
I.S. 206 ANN MERSEREAU,X,90.00
P.S. 207,X,93.21
P.S. 209,X,93.75
BRONX ENGINEERING AND TECHNOLOGY ACADEMY,X,74.34
THEATRE ARTS PRODUCTION COMPANY SCHOOL,X,72.34
P.S. 226,X,95.53
JONAS BRONCK ACADEMY,X,96.66
THE MARIE CURIE SCHOOL FOR MEDICINE NUR,X,78.75
WEST BRONX ACADEMY FOR THE FUTURE,X,89.18
